word,sentence,pos
нежданный,1,ADJ
снег,1,NOUN
шуршал,1,VERB
всю,1,ADJ
ночь,1,NOUN
под,1,PREP
утро,1,NOUN
стих,1,VERB
и,1,CONJ
тут,1,ADV
же,1,PART
его,1,ADJ
влажную,1,ADJ
шкуру,1,NOUN
схватило,1,VERB
морозцем,1,NOUN
ты,2,PRON
вечности,2,NOUN
заложник,2,NOUN
у,2,PREP
времени,2,NOUN
в,2,PREP
плену,2,NOUN
сколько,2,ADV
раз,2,NOUN
вспоминая,2,VERB
этот,2,ADJ
стих,2,NOUN
я,2,PRON
сбивался,2,VERB
забывал,2,VERB
где,2,ADV
тут,2,ADV
время,2,NOUN
где,2,ADV
вечность,2,NOUN
я,3,PRON
ходила,3,VERB
на,3,PREP
Маросейку,3,NOUN
где,3,ADV
прежде,3,ADV
была,3,VERB
вегетарианская,3,ADJ
столовая,3,NOUN
эффект,4,NOUN
будет,4,VERB
сильнее,4,ADJ
если,4,CONJ
добавите,4,VERB
в,4,PREP
ванну,4,NOUN
успокаивающий,4,VERB
настой,4,NOUN
из,4,PREP
мяты,4,NOUN
пустырника,4,NOUN
зверобоя,4,NOUN
или,4,CONJ
корня,4,NOUN
валерианы,4,NOUN
заваренный,4,VERB
из,4,PREP
расчёта,4,NOUN
столовая,4,ADJ
ложка,4,NOUN
сырья,4,NOUN
на,4,PREP
л,4,NOUN
воды,4,NOUN
горбуша,5,NOUN
шла,5,VERB
из,5,PREP
океана,5,NOUN
в,5,PREP
устье,5,NOUN
реки,5,NOUN
как,5,PART
Александр,5,NOUN
Матросов,5,NOUN
на,5,PREP
пулемёт,5,NOUN
на,6,PREP
поверхности,6,NOUN
общественной,6,ADJ
жизни,6,NOUN
тишь,6,NOUN
да,6,CONJ
гладь,6,NOUN
один,7,NUM
бывалый,7,ADJ
служака,7,NOUN
внушал,7,VERB
мне,7,PRON
не,7,PART
гладь,7,VERB
начальства,7,NOUN
по,7,PREP
голенищам,7,NOUN
однако,7,CONJ
не,7,PART
нарушай,7,VERB
дистанции,7,NOUN
а,8,CONJ
ты,8,PRON
сегодня,8,ADV
удивился,8,VERB
когда,8,CONJ
мы,8,PRON
с,8,PREP
Сашей,8,NOUN
стали,8,VERB
тебе,8,PRON
писать,8,VERB
тупые,8,ADJ
смски,8,NOUN
они,9,PRON
высечены,9,VERB
из,9,PREP
кремня,9,NOUN
и,9,CONJ
стали,9,NOUN
без,9,PREP
истерики,9,NOUN
и,9,CONJ
показного,9,ADJ
мнения,9,NOUN
интересные,10,ADJ
данные,10,NOUN
получены,10,VERB
в,10,PREP
последние,10,ADJ
годы,10,NOUN
о,10,PREP
вращении,10,NOUN
чёрных,10,ADJ
дыр,10,NOUN
звёздной,10,ADJ
массы,10,NOUN
однако,11,CONJ
эти,11,ADJ
же,11,PART
его,11,ADJ
черты,11,NOUN
могут,11,VERB
проявляться,11,VERB
и,11,CONJ
в,11,PREP
виде,11,NOUN
непостоянства,11,NOUN
поспешности,11,NOUN
в,11,PREP
работе,11,NOUN
недостаточности,11,NOUN
упорства,11,NOUN
склонности,11,NOUN
не,11,PART
выполнять,11,VERB
данные,11,VERB
обещания,11,NOUN
и,12,CONJ
вы,12,PRON
выходите,12,VERB
из,12,PREP
своего,12,ADJ
тёплого,12,ADJ
дома,12,NOUN
в,12,PREP
холодное,12,ADJ
утро,12,NOUN
и,12,CONJ
идёте,12,VERB
навстречу,12,PREP
другу,12,NOUN
который,12,ADJ
тоже,12,ADV
не,12,PART
хочет,12,VERB
идти,12,VERB
ловить,12,VERB
рыбу,12,NOUN
некоторые,13,ADJ
ведомства,13,NOUN
пошли,13,VERB
навстречу,13,ADV
в,13,PREP
части,13,NOUN
ограничения,13,NOUN
проверок,13,NOUN
в,14,PREP
принципе,14,NOUN
можно,14,PRED
было,14,VERB
бы,14,PART
продолжать,14,VERB
и,14,CONJ
дальше,14,ADV
но,14,CONJ
думается,14,VERB
это,14,PRON
тот,14,ADJ
случай,14,NOUN
когда,14,CONJ
и,14,CONJ
так,14,ADV
все,14,PRON
ясно,14,ADJ
американская,15,ADJ
гостья,15,NOUN
из,15,PREP
Риги,15,NOUN
возможно,15,ADV
одна,15,NUM
из,15,PREP
немногих,15,ADJ
иностранных,15,ADJ
лидеров,15,NOUN
кто,15,PRON
ясно,15,ADV
представляет,15,VERB
себе,15,PRON
когда,15,CONJ
начнётся,15,VERB
развитие,15,NOUN
событий,15,NOUN
вокруг,15,PREP
Ирака,15,NOUN
